,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2014-11-21 12:41:00,T0450A,T0451A,T0451,T0460,T0453,T0458,X0451A,T0459,X0451B,X0451F,X0451C,X0451E,T0452A,X0451D,P0455
2014-11-21 12:42:00,T0450A,T0451,T0451A,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 12:43:00,T0450A,T0451,T0451A,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 12:44:00,T0450A,T0451,T0451A,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 12:45:00,T0450A,T0451,T0451A,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,X0451E,T0452A,X0451D,P0455
2014-11-21 12:46:00,T0450A,T0451,T0451A,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,X0451E,T0452A,X0451D,P0455
2014-11-21 12:47:00,T0451,T0451A,T0450A,T0460,T0459,T0458,T0452A,P0455,X0451F,T0453,X0451B,X0451C,X0451E,X0451D,X0451A
2014-11-21 12:48:00,T0451A,T0451,T0460,T0450A,T0458,T0459,X0451B,T0453,P0455,X0451F,T0452A,X0451C,X0451A,X0451D,X0451E
2014-11-21 12:49:00,T0450A,T0451,T0460,T0453,X0451A,T0451A,T0459,X0451B,P0455,T0458,X0451C,X0451E,X0451F,X0451D,T0452A
2014-11-21 12:50:00,T0450A,T0451A,T0451,T0458,T0459,T0460,T0453,X0451B,X0451A,T0452A,X0451F,X0451C,X0451E,P0455,X0451D
2014-11-21 12:51:00,T0450A,T0451A,T0451,T0458,T0459,T0460,T0453,X0451B,X0451A,T0452A,X0451F,X0451C,X0451E,P0455,X0451D
2014-11-21 12:52:00,T0450A,T0451,T0460,T0453,T0451A,X0451A,T0459,X0451B,X0451C,P0455,X0451E,X0451F,X0451D,T0458,T0452A
2014-11-21 12:53:00,T0450A,T0451,T0460,T0453,T0451A,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,T0458,X0451E,X0451D,P0455
2014-11-21 12:54:00,T0450A,T0451,T0451A,T0460,T0453,T0459,X0451A,X0451B,T0458,X0451F,T0452A,X0451C,X0451E,X0451D,P0455
2014-11-21 12:55:00,T0450A,T0451,T0451A,T0460,T0453,T0459,X0451A,T0458,T0452A,X0451B,X0451F,X0451C,X0451E,X0451D,P0455
2014-11-21 12:56:00,T0450A,T0451,T0451A,T0460,T0453,T0459,X0451A,T0458,T0452A,X0451B,X0451F,X0451C,X0451E,X0451D,P0455
2014-11-21 12:57:00,T0450A,T0451,T0460,T0453,T0451A,X0451A,T0459,X0451B,X0451F,X0451C,X0451E,T0452A,P0455,X0451D,T0458
2014-11-21 12:58:00,T0450A,T0451,T0460,T0453,T0451A,X0451A,T0459,X0451B,X0451F,X0451C,X0451E,T0452A,P0455,X0451D,T0458
2014-11-21 12:59:00,T0451A,T0451,T0459,T0460,T0458,T0450A,T0452A,T0453,P0455,X0451F,X0451B,X0451C,X0451A,X0451E,X0451D
2014-11-21 13:00:00,T0450A,T0451,T0451A,T0460,T0453,T0459,X0451A,T0458,T0452A,X0451F,X0451B,X0451C,X0451E,X0451D,P0455
2014-11-21 13:01:00,T0450A,T0451A,T0451,T0453,T0460,T0458,X0451A,X0451B,T0459,X0451F,X0451C,X0451E,P0455,X0451D,T0452A
2014-11-21 13:02:00,T0450A,T0451,T0460,T0451A,T0453,X0451A,T0458,X0451B,X0451F,X0451C,X0451E,T0459,X0451D,P0455,T0452A
2014-11-21 13:03:00,T0450A,T0451,T0460,T0451A,T0453,X0451A,T0458,X0451B,X0451F,X0451C,X0451E,T0459,X0451D,P0455,T0452A
2014-11-21 13:04:00,T0450A,T0451,T0451A,T0460,T0453,T0458,T0459,X0451A,X0451B,T0452A,X0451C,X0451F,X0451E,P0455,X0451D
2014-11-21 13:05:00,T0450A,T0451,T0451A,T0460,T0453,T0458,T0459,X0451A,X0451B,T0452A,X0451C,X0451F,X0451E,P0455,X0451D
2014-11-21 13:06:00,T0450A,T0451,T0460,T0451A,T0453,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,X0451D,T0458,P0455
2014-11-21 13:07:00,T0450A,T0451,T0451A,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,X0451E,T0452A,X0451D,P0455
2014-11-21 13:08:00,T0450A,T0451,T0451A,T0460,T0453,T0458,T0459,X0451A,X0451B,X0451F,X0451C,X0451E,T0452A,X0451D,P0455
2014-11-21 13:09:00,T0450A,T0451,T0451A,T0460,T0453,T0458,X0451A,X0451B,T0459,X0451F,X0451C,X0451E,X0451D,T0452A,P0455
2014-11-21 13:10:00,T0450A,T0451,T0451A,T0458,T0460,T0459,T0453,X0451A,X0451B,T0452A,X0451C,X0451F,X0451E,P0455,X0451D
2014-11-21 13:11:00,T0450A,T0451,T0451A,T0458,T0460,T0459,T0453,X0451A,X0451B,T0452A,X0451C,X0451F,X0451E,P0455,X0451D
2014-11-21 13:12:00,T0450A,T0451,T0451A,T0460,T0453,X0451A,T0458,X0451B,X0451F,X0451C,T0459,X0451E,T0452A,X0451D,P0455
2014-11-21 13:13:00,T0450A,T0451A,T0451,T0460,T0453,T0459,X0451A,T0458,X0451B,T0452A,X0451F,X0451C,X0451E,P0455,X0451D
2014-11-21 13:14:00,T0450A,T0451A,T0451,T0460,T0453,T0459,X0451A,T0458,X0451B,T0452A,X0451F,X0451C,X0451E,P0455,X0451D
2014-11-21 13:15:00,T0450A,T0451,T0459,T0460,T0458,T0453,T0451A,T0452A,X0451A,X0451F,X0451C,X0451D,X0451E,P0455,X0451B
2014-11-21 13:16:00,T0450A,T0451,T0459,T0460,T0458,T0453,T0451A,T0452A,X0451A,X0451F,X0451C,X0451D,X0451E,P0455,X0451B
2014-11-21 13:17:00,T0450A,T0451A,T0451,T0453,T0460,X0451A,T0459,X0451B,X0451F,T0452A,X0451C,X0451E,P0455,X0451D,T0458
2014-11-21 13:18:00,T0450A,T0451A,T0451,T0453,T0460,X0451A,T0459,X0451B,X0451F,T0452A,X0451C,X0451E,P0455,X0451D,T0458
2014-11-21 13:19:00,T0450A,T0451A,T0451,T0453,T0459,T0460,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451D,X0451E
2014-11-21 13:20:00,T0450A,T0451A,T0451,T0453,T0459,T0460,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451D,X0451E
2014-11-21 13:21:00,T0450A,T0451A,T0453,T0459,T0451,T0460,T0458,X0451A,T0452A,X0451F,X0451B,P0455,X0451C,X0451D,X0451E
2014-11-21 13:22:00,T0450A,T0451A,T0451,T0453,T0460,T0459,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451E,X0451D
2014-11-21 13:23:00,T0450A,T0451A,T0451,T0453,T0460,T0459,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451E,X0451D
2014-11-21 13:24:00,T0450A,T0451A,T0459,T0458,T0451,T0453,T0460,T0452A,X0451A,X0451F,P0455,X0451C,X0451D,X0451B,X0451E
2014-11-21 13:25:00,T0450A,T0451A,T0459,T0458,T0451,T0453,T0460,T0452A,X0451A,X0451F,P0455,X0451C,X0451D,X0451B,X0451E
2014-11-21 13:26:00,T0450A,T0451A,T0451,T0453,T0459,T0460,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451E,X0451D
2014-11-21 13:27:00,T0450A,T0451A,T0451,T0453,T0459,T0460,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451E,X0451D
2014-11-21 13:28:00,T0450A,T0451,T0451A,T0460,T0459,T0453,T0458,X0451A,T0452A,X0451F,X0451C,X0451B,P0455,X0451D,X0451E
2014-11-21 13:29:00,T0450A,T0451,T0451A,T0460,T0459,T0453,T0458,X0451A,T0452A,X0451F,X0451C,X0451B,P0455,X0451D,X0451E
2014-11-21 13:30:00,T0450A,T0451A,T0453,T0451,T0458,T0460,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 13:31:00,T0450A,T0451A,T0453,T0451,T0458,T0460,T0459,X0451A,X0451B,X0451F,X0451C,T0452A,X0451E,P0455,X0451D
2014-11-21 13:32:00,T0450A,T0451A,T0453,T0460,T0451,T0459,X0451A,X0451B,X0451F,T0452A,X0451C,P0455,T0458,X0451E,X0451D
2014-11-21 13:33:00,T0450A,T0451A,T0453,T0460,T0451,T0459,X0451A,X0451B,X0451F,T0452A,X0451C,P0455,T0458,X0451E,X0451D
2014-11-21 13:34:00,T0450A,T0451A,T0451,T0453,T0459,T0460,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451D,X0451E
2014-11-21 13:35:00,T0450A,T0451A,T0451,T0453,T0460,T0459,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451E,X0451D
2014-11-21 13:36:00,T0450A,T0451A,T0451,T0453,T0460,T0459,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451E,X0451D
2014-11-21 13:37:00,T0450A,T0451A,T0453,T0460,T0458,T0451,T0459,X0451A,X0451B,X0451F,X0451C,P0455,X0451E,T0452A,X0451D
2014-11-21 13:38:00,T0450A,T0451A,T0453,T0460,T0458,T0451,T0459,X0451A,X0451B,X0451F,X0451C,P0455,X0451E,T0452A,X0451D
2014-11-21 13:39:00,T0450A,T0451A,T0459,T0458,T0451,T0453,T0460,T0452A,X0451A,X0451F,P0455,X0451C,X0451D,X0451B,X0451E
2014-11-21 13:40:00,T0450A,T0451A,T0459,T0458,T0451,T0453,T0460,T0452A,X0451A,X0451F,P0455,X0451C,X0451D,X0451B,X0451E
2014-11-21 13:41:00,T0450A,T0451A,T0453,T0459,T0460,T0451,T0458,X0451A,T0452A,X0451F,X0451B,P0455,X0451C,X0451E,X0451D
2014-11-21 13:42:00,T0450A,T0451A,T0453,T0459,T0460,T0451,T0458,X0451A,T0452A,X0451F,X0451B,P0455,X0451C,X0451E,X0451D
2014-11-21 13:43:00,T0450A,T0451A,T0459,T0458,T0451,T0453,T0460,T0452A,X0451A,X0451F,P0455,X0451C,X0451D,X0451E,X0451B
2014-11-21 13:44:00,T0450A,T0451A,T0459,T0458,T0451,T0453,T0460,T0452A,X0451A,X0451F,P0455,X0451C,X0451D,X0451E,X0451B
2014-11-21 13:45:00,T0450A,T0451A,T0451,T0453,T0460,T0459,T0458,X0451A,T0452A,X0451F,X0451B,X0451C,P0455,X0451E,X0451D
2014-11-21 13:46:00,T0450A,T0451A,T0453,T0451,T0460,T0459,X0451A,X0451B,X0451F,T0458,T0452A,X0451C,P0455,X0451E,X0451D
2014-11-21 13:47:00,T0450A,T0451A,T0453,T0451,T0460,T0459,X0451A,X0451B,X0451F,T0458,T0452A,X0451C,P0455,X0451E,X0451D
2014-11-21 13:48:00,T0450A,T0451A,T0453,T0458,T0459,T0460,T0451,X0451B,X0451A,X0451F,X0451C,T0452A,P0455,X0451E,X0451D
2014-11-21 13:49:00,T0450A,T0451A,T0453,T0451,T0460,X0451A,T0458,X0451B,X0451F,X0451C,T0452A,P0455,T0459,X0451E,X0451D
2014-11-21 13:50:00,T0450A,T0451A,T0453,T0451,T0460,X0451A,T0458,X0451B,X0451F,X0451C,T0452A,P0455,T0459,X0451E,X0451D
2014-11-21 13:51:00,T0450A,T0451A,T0451,T0453,T0460,X0451A,T0459,X0451B,X0451F,T0452A,X0451C,P0455,X0451E,X0451D,T0458
